Logo,Role,Company,Location,Source,Posted,Full / Part Time,Salary,Description
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSIrSMW79u1zSdxDIrkIbk5UCj12eNjs56XTeHv&s=0,AI Engineer - Kỹ Sư AI (Từ 1 Năm Kinh Nghiệm),"Toshiba Software Development (Vietnam) Co., Ltd.",Hà Nội,qua TopCV,15 ngày trước,Toàn thời gian,*missing data*,"AI Engineer - Kỹ Sư AI (Từ 1 Năm Kinh Nghiệm)
LƯU
Toshiba Software Development (Vietnam) Co., Ltd.
Hà Nội
N.đơn tại TopCV
15 ngày trước
Toàn thời gian
Mô tả công việc

We are looking for Excellent Engineers, who can research & develop solutions using state-of-the-art AI techniques.
• You will be given a chance of working with different real-world problems in various business domains of Toshiba.
• You will be up-to-date with latest technologies in the field.
• You will sharpen your skills by constantly sharing with other senior members in our team or collaborating with experts in Toshiba R&D groups in Japan.
• The working environment is open, flexible, collaborative, encouraging and excellence-oriented.
• Senior candidates with proven leadership & management skills.

Yêu cầu ứng viên

EDUCATION
• Bachelor or higher in Computer Science, Information Technology, related Engineerings, or Mathematics.
• From 1-year working experience in Real AI/data science projects is required.

JOB DESCRIPTION
• Strong analytical skills and mindset.
• Solid background knowledge at Maths (Linear Algebra, Probability & Statistics, Optimization)
• Good at...
Hiển thị toàn bộ nội dung mô tả
Báo cáo tin tuyển dụng này
Toshiba Software Development (Vietnam) Co., Ltd.
Việc làm khác tại Toshiba Software Development (Vietnam) Co., Ltd.
Xem kết quả trên web cho Toshiba Software Development (Vietnam) Co., Ltd."
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRsj7Hhe3OIvoXKHH8NwQDhsO4Ugg5XOZe-L9YC&s=0,AI Engineer,BLOKPARTI PTE. LTD,Hà Nội,qua TopCV,1 ngày trước,Toàn thời gian,"2,3 N US$–3,5 N US$ một tháng","AI Engineer
LƯU
BLOKPARTI PTE. LTD
Hà Nội
N.đơn tại TopCV
1 ngày trước
2,3 N US$–3,5 N US$ một tháng
Toàn thời gian
Mô tả công việc
• Develop and implement chatbot solutions utilizing NLP (natural language processing) techniques and frameworks.
• Work closely with stakeholders to gather requirements and design conversational experiences that meet business objectives.
• Code and script in Python to build scalable and efficient chatbot applications.
• Utilize various technologies, including REST APIs, NoSQL databases, Vector Databases, and RAG models, to enhance chatbot functionality and performance.
• Conduct thorough testing and debugging to ensure the reliability and accuracy of chatbot systems.
• Stay updated on the latest advancements in NLP and AI technologies, and integrate new tools and methodologies into existing workflows.

Yêu cầu ứng viên
• Bachelor's degree in Computer Science, Engineering, or related field.
• Minimum of 3 years of experience in AI engineering, with a focus on NLP and chatbot development.
• Proficiency in Python programming language.
• Strong understanding of NLP...
Hiển thị toàn bộ nội dung mô tả
Báo cáo tin tuyển dụng này
BLOKPARTI PTE. LTD
Việc làm khác tại BLOKPARTI PTE. LTD
Xem kết quả trên web cho BLOKPARTI PTE. LTD"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRIqgx7tYSFIJln55YjSS-TEbdrQ9waYIXwqMkk&s=0,AI Engineer - Thử Việc 120% Lương,CÔNG TY TNHH VERISERVE VIỆT NAM,Hà Nội,qua TopCV,20 ngày trước,Toàn thời gian,*missing data*,"AI Engineer - Thử Việc 120% Lương
LƯU
CÔNG TY TNHH VERISERVE VIỆT NAM
Hà Nội
N.đơn tại TopCV
20 ngày trước
Toàn thời gian
Mô tả công việc
• Nghiệp vụ phát triển nghiên cứu liên quan đến test, phát triển và thiết kế hệ thống cùng với sự hợp tác của bộ phận R&D của khách hàng phía Nhật Bản (nghiên cứu ứng dụng)
• Nghiên cứu, xác minh và báo cáo các công nghệ mới như đảm bảo chất lượng AI
• Phát triển các công nghệ mới liên quan đến chất lượng phần mềm, triển khai trong các tool, v.v.
• Triển khai và cải tiến các thuật toán và mô hình theo yêu cầu ứng dụng trong thực tế.
• Giải quyết các bài toán về Machine Learning, Deep Learning, BigData khác.
• Các công việc liên quan khác theo yêu cầu của trưởng bộ phận.

Yêu cầu ứng viên

- Có kinh nghiệm trong lĩnh vực Machine Learning, DeepLearning.

- Từng làm việc trên các nền tảng tensorflow, keras, caffe, pytorch...

- Từng tham gia vào ít nhất 01 dự án/đề tài R&D

- Thông thạo các ngôn ngữ lập trình (C/C++, Python, v.v.)

- Có kỹ năng làm việc nhóm, có khả làm việc độc lập

- Thành thạo các công cụ quản lý mã nguồn: GIT, SVN, ...

- Code tuân theo các chuẩn...
Hiển thị toàn bộ nội dung mô tả
Báo cáo tin tuyển dụng này
CÔNG TY TNHH VERISERVE VIỆT NAM
Việc làm khác tại CÔNG TY TNHH VERISERVE VIỆT NAM
Xem kết quả trên web cho CÔNG TY TNHH VERISERVE VIỆT NAM"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRURiG86BR2OCgq6oHRledTrgyrzlw7dMFW737l&s=0,AI Engineer,CÔNG TY CỔ PHẦN PIONERO,Hà Nội,qua TopCV,5 ngày trước,Toàn thời gian,15 Tr ₫–25 Tr ₫ một tháng,"AI Engineer
LƯU
CÔNG TY CỔ PHẦN PIONERO
Hà Nội
N.đơn tại TopCV
5 ngày trước
15 Tr ₫–25 Tr ₫ một tháng
Toàn thời gian
Mô tả công việc

As an AI Engineer, you will help us convert a practical problem into a data science problem, clean and analyze data, build models, and deploy PoC (proof of concept) for our Japanese clients.
• Work with Project Manager and Tech Lead to understand system requirements
• Research new technologies and share knowledge with the team through written materials as well as presentations
• Crawl, analyze, process data, and propose data labeling options if necessary
• Integrate 3rd-party services such as ChatGPT, Google/Amazon/Azure AI services, Stable Diffusion...
• Evaluate and fine-tune open-source models like Whisper, Tesseract...
• Implement Machine Learning algorithms if needed, evaluate and interpret results
• Integrate your AI module with the system by writing API or embedding the models to edge devices
• Implement a simple user interface (web/mobile app) to make your work visible
• Set up the data pipeline and deploy to production (AWS, GCP) if needed

Yêu cầu ứng viên
•...
Hiển thị toàn bộ nội dung mô tả
Báo cáo tin tuyển dụng này
CÔNG TY CỔ PHẦN PIONERO
Việc làm khác tại CÔNG TY CỔ PHẦN PIONERO
Xem kết quả trên web cho CÔNG TY CỔ PHẦN PIONERO"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTrRXsyurlZt04mEiu7s8sLrU01VDIVqypu5OnQ&s=0,Junior AI Engineer,TECHVIFY Software,Hà Nội,qua Techvify - TECHVIFY Software,*missing data*,Toàn thời gian,15 Tr ₫–25 Tr ₫ một tháng,"Junior AI Engineer
LƯU
TECHVIFY Software
Hà Nội
N.đơn tại Techvify - TECHVIFY Software
15 Tr ₫–25 Tr ₫ một tháng
Toàn thời gian
What are we looking for?

As our Digital Enablement Solutions (DES) division continues to expand, we are actively looking for talented and highly motivated candidates to join our team in Hanoi. We are currently seeking candidates with expertise in AI and Machine Learning, specifically in the fields of Natural Language Processing (NLP) and Large Language Models (LLM). Your role will involve working on exciting AI projects and contributing to our ongoing research and development efforts focused on advancing deep learning models, AI models and applications for Natural Language Search and Generative AI.

Your DNA:
• Collaboration – You are a team player and have worked in cross-functional teams before; you bring new ideas and ensure best practices are applied at every step.
• Academic skills – You are comfortable with reading research papers and evaluating their relevance to the use case at hand.
• Problem solving – You keep a pragmatic approach and evaluate an array of solutions to a...
Hiển thị toàn bộ nội dung mô tả
Báo cáo tin tuyển dụng này
TECHVIFY Software
Việc làm khác tại TECHVIFY Software
Xem kết quả trên web cho TECHVIFY Software"
*missing data*,"AI Engineer (Python, C/C++)",Asilla,Hà Nội,qua Indeed,19 giờ trước,Toàn thời gian,*missing data*,"AI Engineer (Python, C/C++)
LƯU
A
Asilla
Hà Nội
N.đơn tại Indeed
19 giờ trước
Toàn thời gian
Asilla

Tầng 3, số 6 ngõ 82 Duy Tân, phường Dịch Vọng Hậu, Cau Giay, Ha Noi

At office

Posted 11 hours ago

Skills:

Python

C++

C language

Top 3 reasons to join us
• 14 tháng lương một năm
• Cơ hội nhận Stock Option, full bảo hiểm xã hội
• Môi trường cực thoải mái, không khuyến khích OT

Job description

Tham gia vào các dự án xây dựng sản phẩm của Asilla trong mảng Computer Vision có sử dụng công nghệ Deep Learning. Sản phẩm của Asilla là công nghệ lõi trong việc phân tích video, bao gồm: nhận diện hành động bất thường, multiple camera tracking.

Cụ thể:
• Xây dựng các model deep learning, machine learning trong việc nhận diện hành động, phân tích video.
• Phân tích và xử lý dữ liệu hình ảnh, video để chuẩn bị cho quá trình training.
• Tích hợp AI model vào các hệ thống ứng dụng.
• Tối ưu hóa hiệu năng của hệ thống ứng dụng.

Your skills and experience
• Tốt nghiệp đại học chuyên ngành CNTT hoặc tương đương.
• Có ít nhất 1,5 năm kinh nghiệm ở vị trí tương đương.
• Thành thạo với...
Hiển thị toàn bộ nội dung mô tả
Báo cáo tin tuyển dụng này
Asilla
asilla.jp
Việc làm khác tại Asilla
Xem kết quả trên web cho Asilla"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZFVdcdGgWjBUlhj3q05zfhNt-IeJnVuLJe8gZ&s=0,Senior AI Engineer,Công Ty Cổ Phần Sản Xuất Và Kinh Doanh VinFast - Thành Viên Của Vingroup,Hà Nội,qua VietNamWorks,21 ngày trước,Toàn thời gian,*missing data*,"Senior AI Engineer
LƯU
Công Ty Cổ Phần Sản Xuất Và Kinh Doanh VinFast - Thành Viên Của Vingroup
Hà Nội
N.đơn tại VietNamWorks
21 ngày trước
Toàn thời gian
The AI & Optimization team is seeking a hands-on machine learning expert for research, design and development of cutting-edge technologies applied in projects that will help us to (i) improve the productivity and efficiency of Vinfast operations, and (ii) shape the future of Vinfast vehicles with the goal of enhancing our customer’s experience. The ideal candidate should have a strong expertise in ML/Data Science/Optimization, and a solid background in data structures and algorithms.

In this role, you will be responsible for design & development of novel algorithms & applications, as well as guiding junior members to become experts. You will be working closely with other business and software development teams to support the product development, evaluation & deployment. Joining Vinfast, you will have exciting opportunities to explore the potential applications of AI and optimization to a variety of problems in the automotive industry, including but not limited to:
- Identifying...
Hiển thị toàn bộ nội dung mô tả
Báo cáo tin tuyển dụng này
Công Ty Cổ Phần Sản Xuất Và Kinh Doanh VinFast - Thành Viên Của Vingroup
vinfast.vn
Việc làm khác tại Công Ty Cổ Phần Sản Xuất Và Kinh Doanh VinFast - Thành Viên Của Vingroup
Xem kết quả trên web cho Công Ty Cổ Phần Sản Xuất Và Kinh Doanh VinFast - Thành Viên Của Vingroup"
*missing data*,Leader AI Engineer,LIFESUP,Hà Nội,qua TopCV,2 ngày trước,Toàn thời gian,30 Tr ₫–50 Tr ₫ một tháng,"Leader AI Engineer
LƯU
L
LIFESUP
Hà Nội
N.đơn tại TopCV
2 ngày trước
30 Tr ₫–50 Tr ₫ một tháng
Toàn thời gian
Mô tả công việc
• Phối hợp triển khai mô hình AI vào sản phẩm và dịch vụ, đồng thời thực hiện các biện pháp tối ưu hóa để đảm bảo hiệu suất và khả năng mở rộng.
• Phân tích yêu cầu bài toán, dữ liệu khách hàng.
• Nghiên cứu, cập nhật xu hướng Generative AI và implement paper.
• Báo cáo định kỳ và thực hiện công việc liên quan khác theo yêu cầu của trưởng bộ phận.

Yêu cầu ứng viên
• Phối hợp triển khai mô hình AI vào sản phẩm và dịch vụ, đồng thời thực hiện các biện pháp tối ưu hóa để đảm bảo hiệu suất và khả năng mở rộng.
• Phân tích yêu cầu bài toán, dữ liệu khách hàng.
• Nghiên cứu, cập nhật xu hướng Generative AI và implement paper.
• Báo cáo định kỳ và thực hiện công việc liên quan khác theo yêu cầu của trưởng bộ phận.

Quyền lợi được hưởng

Lương, thưởng, chế độ phúc lợi:
• Rank lương hấp dẫn: 30,000,000 – 50,000,000 VNĐ
• Đánh giá định kỳ 1 lần/năm, xét tăng lương theo năng lực.
• Đóng bảo hiểm và các chế độ đảm bảo quyền lợi người lao động.
• Năm cố định 13 tháng lương.
•...
Hiển thị toàn bộ nội dung mô tả
Báo cáo tin tuyển dụng này
LIFESUP
Việc làm khác tại LIFESUP
Xem kết quả trên web cho LIFESUP"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQsoIMsrjLBTybC_lEiKxOd5taRpeR8xI8KJ_ES&s=0,AI Engineer – Khối CNTT,MBBANK,Hà Nội,qua TopDev,3 ngày trước,Toàn thời gian,*missing data*,"AI Engineer – Khối CNTT
LƯU
MBBANK
Hà Nội
Ứng tuyển trực tiếp trên TopDev
3 ngày trước
Toàn thời gian
Your role & responsibilities
• Phát triển, ứng dụng, tối ưu, tích hợp mô hình AI cho các bài toán ứng dụng trong hoạt động Kinh doanh/Ngân hàng về các lĩnh vực Computer Vision, NLP...
• Tham gia vào các công đoạn triển khai dịch vụ: Kiến trúc hệ thống, thiết kế mô hình hoạt động, luồng hoạt động, chức năng, tối ưu performance
• Coding, test metrics, service và unittest theo mô hình DevOps, MLOps
• Nghiên cứu, tìm hiểu các bài báo khoa học mới nhất về AI, ML, DL

Your skills & qualifications

Trình độ học vấn:
• Tốt nghiệp Đại học các chuyên ngành Công nghệ thông tin, Khoa học máy tính, Điện tử viễn thông, Công nghệ phần mềm, Hệ thống thông tin .....

Kinh nghiệm:
• Có tối thiểu 1,5 năm kinh nghiệm tương đương tại vị trí tuyển dụng
• Có kiến thức và hiểu biết về:
• * Ngôn ngữ lập trình Python, C/C++
• Service/MicroService với một trong các framework FastAPI/Flask/Django
• Tensorflow/Pytorch/DGL/PyG/Onnx
• API (Restful/gRPC), Lập trình an toàn, đảm bảo & tối ưu hiệu năng
• Git và Git...
Hiển thị toàn bộ nội dung mô tả
Báo cáo tin tuyển dụng này
MBBANK
Review Công ty
 2,2  -  63 bài đánh giá
BSC
 5,0  -  5 bài đánh giá
Glassdoor
 3,6  -  38 bài đánh giá
mbbank.com.vn
Việc làm khác tại MBBANK
Xem kết quả trên web cho MBBANK"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTOkQW3jS89ABibAXAsiUYMaNFTHlGx41VXFKBY&s=0,AI ENGINEER,CÔNG TY TNHH BLOKPARTI VIỆT NAM,Hà Nội,qua HR1Tech,1 ngày trước,Toàn thời gian,"1,5 N US$–3,5 N US$ một tháng","AI ENGINEER
LƯU
CÔNG TY TNHH BLOKPARTI VIỆT NAM
Hà Nội
N.đơn tại HR1Tech
1 ngày trước
1,5 N US$–3,5 N US$ một tháng
Toàn thời gian
Develop and implement chatbot solutions utilizing NLP (natural language processing) techniques and frameworks.
Work closely with stakeholders to gather requirements and design conversational experiences that meet business objectives.
Code and script in Python to build scalable and efficient chatbot applications.
Utilize various technologies, including REST APIs, NoSQL databases, Vector Databases, and RAG models, to enhance chatbot functionality and performance.
Conduct thorough testing and debugging to ensure the reliability and accuracy of chatbot systems.
Stay updated on the latest advancements in NLP and AI technologies, and integrate new tools and methodologies into existing workflows.
Báo cáo tin tuyển dụng này
CÔNG TY TNHH BLOKPARTI VIỆT NAM
Việc làm khác tại CÔNG TY TNHH BLOKPARTI VIỆT NAM
Xem kết quả trên web cho CÔNG TY TNHH BLOKPARTI VIỆT NAM"
